,mean_value
TP,31.0
FP,7.0
FN,37.0
precision,0.8157894736842105
recall,0.45588235294117646
f1,0.5849056603773585
f0.5,0.7045454545454545
pr_auc_macro,0.35742232964764076
predicted_anomaly_ratio_macro,0.044400291028895617
