point_level_metric,mean,std,min,median,max
point_precision,0.7135618279670098,0.4323533917093272,0.0,1.0,1.0
point_recall,0.16359872190488,0.21626899742466624,0.0,0.06896632748120934,0.7605633802816901
point_f1,0.2156631541249835,0.24954946872449663,0.0,0.11759978726649173,0.8450704225352113
point_pr_auc,0.41720711630959423,0.3121982944948931,0.0036204953734063467,0.37205392238658136,0.9999999999999999
predicted_anomaly_ratio,0.012539616286367206,0.024229239951820032,0.00023837902264600716,0.004056116804857683,0.14874851013110846
