point_level_metric,mean,std,min,median,max
point_precision,0.7257401324478868,0.42292365591632425,0.0,1.0,1.0
point_recall,0.15635265228464626,0.19970337255723922,0.0,0.06455344001747443,0.7605633802816901
point_f1,0.21118937582684416,0.23266565830772906,0.0,0.12110152712466025,0.7954545454545454
point_pr_auc,0.41270075776127757,0.3242610858555684,0.0036189917448088095,0.37228714155134335,0.9999999999999999
predicted_anomaly_ratio,0.01322634859134477,0.025369089830931432,0.0003835826620636747,0.0031913377289112094,0.1569725864123957
