sequence_level_metric,mean,std,min,median,max
seq_precision,0.7305645743145742,0.4319919982883215,0.0,1.0,1.0
seq_recall,0.7222222222222223,0.4173162784753739,0.0,1.0,1.0
seq_f1,0.6927083333333334,0.413340000089223,0.0,1.0,1.0
seq_pr_auc,0.41720711630959423,0.3121982944948931,0.0036204953734063467,0.37205392238658136,0.9999999999999999
