sequence_level_metric,mean,std,min,median,max
seq_precision,0.7259599673202614,0.42370248001262106,0.0,1.0,1.0
seq_recall,0.7465277777777777,0.3979700015622032,0.0,1.0,1.0
seq_f1,0.6975446428571428,0.40645619574656033,0.0,1.0,1.0
seq_pr_auc,0.41270075776127757,0.3242610858555684,0.0036189917448088095,0.37228714155134335,0.9999999999999999
