,mean_value
TP,53.0
FP,24.0
FN,15.0
precision,0.6883116883116883
recall,0.7794117647058824
f1,0.7310344827586206
f0.5,0.7047872340425533
pr_auc_macro,0.46133675631526044
predicted_anomaly_ratio_macro,0.048525973100893655
