,mean_value
TP,25.0
FP,14.0
FN,43.0
precision,0.6410256410256411
recall,0.36764705882352944
f1,0.4672897196261683
f0.5,0.5580357142857143
pr_auc_macro,0.32241913918558657
predicted_anomaly_ratio_macro,0.03540332136447742
