,mean_value
TP,5.0
FP,3.0
FN,63.0
precision,0.625
recall,0.07352941176470588
f1,0.13157894736842107
f0.5,0.25
pr_auc_macro,0.2925928749270716
predicted_anomaly_ratio_macro,0.006061677203109457
